description,technicalName
FLAG - Late Delivery Doc. Creation,ZFLAG_LD
Customer PO Date,ZBSTDK
Create By (DI),ZITM_DI__ZERNAM_D
Dt - (SH) FD DSV Arrived Discharge Berth Actual,ZTKNUM_M__ZADCB_AD
Dt - (SH) FD DSV Arrived Discharge Berth Plan,ZTKNUM_M__ZADCB_PD
Tm - (SH) FD DSV Arrived Discharge Berth Actual,ZTKNUM_M__ZADCB_AT
Tm - (SH) FD DSV Arrived Discharge Berth Plan,ZTKNUM_M__ZADCB_PT
Dt - (SH) FD DSV Arrived Loading Berth Actual,ZTKNUM_M__ZALB_AD
Dt - (SH) FD DSV Arrived Loading Berth Plan,ZTKNUM_M__ZALB_PD
Tm - (SH) FD DSV Arrived Loading Berth Actual,ZTKNUM_M__ZALB_AT
Tm - (SH) FD DSV Arrived Loading Berth Plan,ZTKNUM_M__ZALB_PT
Dt - (SH) FD DSV ETA Discharge Port at Firming Actual,ZTKNUM_M__ZEDPAF_AD
Dt - (SH) FD DSV ETA Discharge Port at Firming Plan,ZTKNUM_M__ZEDPAF_PD
Tm - (SH) FD DSV ETA Discharge Port at Firming Actual,ZTKNUM_M__ZEDPAF_AT
Tm - (SH) FD DSV ETA Discharge Port at Firming Plan,ZTKNUM_M__ZEDPAF_PT
Dt - (SH) FD DSV ETA Discharge Port Updates Actual,ZTKNUM_M__ZEDPU_AD
Dt - (SH) FD DSV ETA Discharge Port Updates Plan,ZTKNUM_M__ZEDPU_PD
Tm - (SH) FD DSV ETA Discharge Port Updates Actual,ZTKNUM_M__ZEDPU_AT
Tm - (SH) FD DSV ETA Discharge Port Updates Plan,ZTKNUM_M__ZEDPU_PT
Dt - (SH) FD DSV ETA Load Port at Firming Actual,ZTKNUM_M__ZELPAF_AD
Dt - (SH) FD DSV ETA Load Port at Firming Plan,ZTKNUM_M__ZELPAF_PD
Tm - (SH) FD DSV ETA Load Port at Firming Actual,ZTKNUM_M__ZELPAF_AT
Tm - (SH) FD DSV ETA Load Port at Firming Plan,ZTKNUM_M__ZELPAF_PT
Dt - (SH) FD DSV ETA Load Port Updates Actual,ZTKNUM_M__ZELPU_AD
Dt - (SH) FD DSV ETA Load Port Updates Plan,ZTKNUM_M__ZELPU_PD
Tm - (SH) FD DSV ETA Load Port Updates Actual,ZTKNUM_M__ZELPU_AT
Tm - (SH) FD DSV ETA Load Port Updates Plan,ZTKNUM_M__ZELPU_PT
Dt - (SH) FD DSV Laycan Start Actual,ZTKNUM_M__ZLCST_AD
Dt - (SH) FD DSV Laycan Start Plan,ZTKNUM_M__ZLCST_PD
Tm - (SH) FD DSV Laycan Start Actual,ZTKNUM_M__ZLCST_AT
Tm - (SH) FD DSV Laycan Start Plan,ZTKNUM_M__ZLCST_PT
Dt - (SH) FD DSV Laycan Stop Actual,ZTKNUM_M__ZLCSP_AD
Dt - (SH) FD DSV Laycan Stop Plan,ZTKNUM_M__ZLCSP_PD
Tm - (SH) FD DSV Laycan Stop Actual,ZTKNUM_M__ZLCSP_AT
Tm - (SH) FD DSV Laycan Stop Plan,ZTKNUM_M__ZLCSP_PT
Dt - (SH) FD DSV Firm Nomination Actual,ZTKNUM_M__ZFMN_AD
Dt - (SH) FD DSV Firm Nomination Plan,ZTKNUM_M__ZFMN_PD
Tm - (SH) FD DSV Firm Nomination Actual,ZTKNUM_M__ZFMN_AT
Tm - (SH) FD DSV Firm Nomination Plan,ZTKNUM_M__ZFMN_PT
Dt - (SH) FD DSV Completed Loading (Ocean BOL) Actual,ZTKNUM_M__ZCLOB_AD
Dt - (SH) FD DSV Completed Loading (Ocean BOL) Plan,ZTKNUM_M__ZCLOB_PD
Tm - (SH) FD DSV Completed Loading (Ocean BOL) Actual,ZTKNUM_M__ZCLOB_AT
Tm - (SH) FD DSV Completed Loading (Ocean BOL) Plan,ZTKNUM_M__ZCLOB_PT
Dt - (SH) FD DSV Completed Unloading Actual,ZTKNUM_M__ZCPU_AD
Dt - (SH) FD DSV Completed Unloading Plan,ZTKNUM_M__ZCPU_PD
Tm - (SH) FD DSV Completed Unloading Actual,ZTKNUM_M__ZCPU_AT
Tm - (SH) FD DSV Completed Unloading Plan,ZTKNUM_M__ZCPU_PT
Dt - (SH) FD DSV Depart Loading Berth Actual,ZTKNUM_M__ZDLDB_AD
Dt - (SH) FD DSV Depart Loading Berth Plan,ZTKNUM_M__ZDLDB_PD
Tm - (SH) FD DSV Depart Loading Berth Actual,ZTKNUM_M__ZDLDB_AT
Tm - (SH) FD DSV Depart Loading Berth Plan,ZTKNUM_M__ZDLDB_PT
RE Partner,ZITM_OI__ZREPARTNR
MAS Calendar Year,ZMAS_YEAR
MAS Calendar Year/Month,ZMAS_MON
MAS Calendar Year/Quarter,ZMAS_QTR
MAS Calendar Year/Week,ZMAS_WEK
Dt - MAS,ZMASDAT
FLAG DSV - Accurate Goods Issue - Backdated Goods Issue,ZF_AGIBGI
FLAG DSV - ETA Performance – Discharge,ZF_ETAPDC
FLAG DSV - ETA Performance – Loading,ZF_ETAPLD
FLAG DSV - Laycan Performance,ZF_LAYCPF
FLAG DSV - Timely Goods Issue – Posting Date,ZF_TGIPD
FLAG DSV - Timely Order Entry,ZF_TOENT
Customer Segmentation,ZCR_CUSTE__ZCR_PRIOR
Tm - (OI) Created On,0CREA_TIME
Customer Purchasing Type,ZMR_BSARK
Order Method,ZMR_BSARK__ZOF_METHD
Plant Management Site,0PLANT__ZCR_STCD
Plant Location,0PLANT__0CITY
Your Reference (ShipTo),ZITM_OI__ZIHREZ_E
Business Segment,ZCR_CUSTE__ZCR_BUSEG
Dt - (SH) FD RMV Load Tndr. Transm. Rcvd,ZTKNUM_M__ZLTTR_AD
Tm - (SH) FD RMV Load Tndr. Transm. Rcvd,ZTKNUM_M__ZLTTR_AT
Dt - (SH) FD RMV Load Tndr. Acceptance,ZTKNUM_M__ZLTA_AD
Tm - (SH) FD RMV Load Tndr. Acceptance,ZTKNUM_M__ZLTA_AT
Dt - (SH) FD RMV Load Tndr. Rejection_Incumbent,ZTKNUM_M__ZLTR_AD
Tm - (SH) FD RMV Load Tndr. Rejection_Incumbent,ZTKNUM_M__ZLTR_AT
Dt - (SH) FD RMV OTD Pre Check,ZTKNUM_M__ZOTDPC_AT
Tm - (SH) FD RMV OTD Pre Check,ZTKNUM_M__ZOTDPC_AD
YQ Partner (OI),ZITM_OI__ZENDUSRNO
YQ Partner (OH),ZITM_OI__ZFUNC_PAR
Dt - (SH) FD DSV NOR Loading Berth Actual,ZTKNUM_M__ZNLB_AD
Tm - (SH) FD DSV NOR Loading Berth Actual,ZTKNUM_M__ZNLB_AT
Dt - MAR,ZDTNPGI
Dt - (SH) FD Sailing Date Plan,ZTKNUM_M__ZSAIL_PD
Late Delv Reason Category,ZMR_RFDAD__ZCR_LDRC
Delivery Date (Confirmation),ZEINDT
STO Deletion Indicator,0DELET_IND
Tm - (DH) Dlv Arrival at Customer,ZMR_DNNO__ZDELARR_T
Dt - (DH) Dlv Arrival at Customer,ZMR_DNNO__ZDELARR_D
Dt - (DH) Dlv Load End,ZMR_DNNO__ZDELLOA_D
Tm - (DH) Dlv Load End,ZMR_DNNO__ZDELLOA_T
Dt - (DH) Dlv Planned Delivery,ZMR_DNNO__ZDELPD_D
Tm - (DH) Dlv Planned Delivery,ZMR_DNNO__ZDELPD_T
Tm - (DH) Dlv Planned Ship,ZMR_DNNO__ZDELOR_T
Dt - (DH) Dlv Planned Ship,ZMR_DNNO__ZDELOR_D
Dt - (DH) Dlv Shipment Completion,ZMR_DNNO__ZDELSHI_D
Tm - (DH) Dlv Shipment Completion,ZMR_DNNO__ZDELSHI_T
Shuttle Shipment,ZTKNUMS
FLAG - Backlog (Do Not Use),ZFLG_BKLG
FLAG - Backlog,ZF_BAKLOG
Tm - (SH) FD Flight Arrival Actual,ZTKNUM_M__ZFLIA_AT
Tm - (SH) FD Flight Arrival Plan,ZTKNUM_M__ZFLIA_PT
Dt - (SH) FD Flight Arrival Actual,ZTKNUM_M__ZFLIA_AD
Dt - (SH) FD Flight Arrival Plan,ZTKNUM_M__ZFLIA_PD
Delivery (Inbound),ZDELI_NUM
Delivery Item (Inbound),ZDELI_ITM
Dt - (DI) Inbound Delivery (LA),ZEINDTLA
Dt - (DI) Order Acknowledge (AB),ZEINDTAB
Dt - (DI) PO Schedule Line Item,0SCL_DELDAT
Dt - (DI) Precedence,ZEINDTLG
FLAG - SED Synch,ZF_SEDSYN
MAR Calendar Year,ZNCALYER
MAR Calendar Year/Month,ZNCALMON
MAR Calendar Year/Quarter,ZNCALQTR
MAR Calendar Year/Week,ZNCALWEK
FLAG - Order Block,ZORDBLOCK
FLAG - Price Missing,ZF_MISPRC
FLAG - Billing Block,0BILL_BLOCK
FLAG - Delivery Block,0DEL_BLOCK
Material Prime Indicator,0MATERIAL__ZSPC_PRIM
STAS - Credit,ZCMGST
FLAG - Delayed Goods Receipt,ZF_DELGR
GR Processing Time,ZCH_WEBAZ
Ship-To City,0SHIP_TO__0CITY
Billing Document,0BILL_NUM
Dt - (B) Billing Date,0BILL_DATE
STAS - Reason for Exception Trigger by Fwding Agent (EX),ZTKNUM_M__ZEXTS_RD
STAS - Reason for Rebook (RB),ZTKNUM_M__ZRBTS_RD
STAS - Reason for Reject by Load Site (RL),ZTKNUM_M__ZRLTS_RD
Customer Distinction,ZCR_CUSTE__0CUST_CLASS
YG Partner Manager,ZITM_OI__ZYGPARMG
FLAG - Cust Req Late,ZCREQ_FLG
Sold To Payer,0SOLD_TO__0PAYER
MRP Controller - Shipping,0MAT_PLANT__0MRP_CONTRL
MRP Controller - Receiving,ZMAT_PLNT__0MRP_CONTRL
Scheduler - Receiving,ZMAT_PLNT__ZMRP_RECI
Scheduler - Shipping,0MAT_PLANT__ZMRP_RECI
FLAG - Delivery Block (Item),ZDLV_BLK
SMC Spec (Do Not Use),ZSMC_SPEC
QAC Trade Spec (Do Not Use),ZTRD_AUTH
Dt - (SH) FD R2 Second Rebooking Actual,ZTKNUM__ZR2TS_AD
Dt - (SH) FD R2 Second Rebooking Plan,ZTKNUM__ZR2TS_PD
Dt - (SH) FD R3 Third Rebooking Actual,ZTKNUM__ZR3TS_AD
Dt - (SH) FD R3 Third Rebooking Plan,ZTKNUM__ZR3TS_PD
Dt - (SH) FD Date Changes Actual,ZTKNUM__ZCHANG_AD
STAS - Reason for Deviation (Date Changes),ZTKNUM__ZVSTGA_DC
Dt - (SH) FD RM Manual Rebooking Actual,ZTKNUM__ZRMTS_AD
Dt - (SH) FD RM Manual Rebooking Plan,ZTKNUM__ZRMTS_PD
Dt - (SH) FD LastBookArr Actual,ZTKNUM__ZLBAD_AD
Dt - (SH) FD LastBookArr Plan,ZTKNUM__ZLBAD_PD
Dt - (SH) FD 1st Transshipment Port Arrival Actual,ZTKNUM__ZFTPA_AD
Dt - (SH) FD 1st Transshipment Port Arrival Plan,ZTKNUM__ZFTPA_PD
Dt - (SH) FD 1st Transshipment Port Departure Actual,ZTKNUM__ZFTPD_AD
Dt - (SH) FD 1st Transshipment Port Departure Plan,ZTKNUM__ZFTPD_PD
Dt - (SH) FD 2nd Transshipment Port Arrival Actual,ZTKNUM__ZSTPA_AD
Dt - (SH) FD 2nd Transshipment Port Arrival Plan,ZTKNUM__ZSTPA_PD
Dt - (SH) FD 2nd Transshipment Port Departure Actual,ZTKNUM__ZSTPD_AD
Dt - (SH) FD 2nd Transshipment Port Departure Plan,ZTKNUM__ZSTPD_PD
Dt - (SH) FD B/L Received Date Actual,ZTKNUM__ZBLRD_AD
Dt - (SH) FD B/L Received Date Plan,ZTKNUM__ZBLRD_PD
QAC (Do Not Use),ZSPC_QAC
Dt - (SH) Carrier Arrival for Pickup Actual,ZTKNUM_M__ZCAFP_AD
Tm - (SH) Carrier Arrival for Pickup Actual,ZTKNUM_M__ZCAFP_AT
Dt - (SH) Carrier Arrival for Pickup Plan,ZTKNUM_M__ZCAFP_PD
Tm - (SH) Carrier Arrival for Pickup Plan,ZTKNUM_M__ZCAFP_PT
YG Partner,ZITM_OI__ZYGPARTRN
YG Partner (Dont Use),ZITM_OI__ZYGPARTNR
FLAG - Shipping Type is diff on DN/SH,ZSHTP_DIF
FLAG TV - Load Cons Relevant,ZTKNUM__ZFTV_LCR
FLAG TV - OTD Relevant,ZTKNUM__ZFTV_OTD
FLAG TV - RTV Relevant,ZTKNUM__ZFTV_RTV
TV Load Cons Reason,ZTKNUM__ZRTV_LC
TV OTD Reason,ZTKNUM__ZRTV_OTD
TV RTV Reason,ZTKNUM__ZRTV_RTV
FLAG - Deli./Load date is diff,ZDDAT_DIF
Shipment Text 502 Internal Note,ZTKNUM_M__ZSHIP502
FLAG - Back Up Lane,ZITM_OI__ZF_BULANE
Dt - (SH) FD Document Packet Sent Actual,ZTKNUM_M__ZDOCPS_AD
Dt - (SH) FD Confirmed on Board Actual,ZTKNUM_M__ZOCBOL_AD
Dt - (SH) FD Flight Departure Date Actual,ZTKNUM_M__ZFLID_AD
Dt - (SH) Shipment Completion Actual,0DTCOMPLACT
Dt - (SH) FD Sailing Date Actual,ZTKNUM_M__ZSAIL_AD
Dt - (SH) CL NW First,ZTKNUM_M__ZTDNW_F
Dt - (SH) CL AC Last,ZTKNUM_M__ZTDAC_L
Mode of Transportation (DN),0SHIPPTYP__ZMODE_TR
Mode of Transportation (SH),ZSHIPPTYP__ZMODE_TR
Reference Document No. (DH),ZITM_DI__ZXBLNR_DH
Storage Conditions,0MATERIAL__ZRAUBE
Storage Conditions (AOB),ZINVN_MAT__ZRAUBE
FLAG MPC - RB Impact,ZF_RBI
FLAG MPC - Risk Detection,ZF_MRD
FLAG MPC - Rollover,ZF_ROLL
FLAG MPC - Same Month Change,ZF_MSM
FLAG MPC - Timely Booking,ZF_TB
FLAG MPC - Timely GI,ZF_TMGI
FLAG MPC - Timely OE,ZF_TMO
FLAG MPC - Timely Re-Booking,ZF_TRB
FLAG MPC - Timely Site Load,ZF_TSL
FLAG MPC - Timely Sail,ZF_TMS
Dt - Ori. Goods Issue Date,ZDTOPGI
Ori. Goods Issue Month,ZOGI_MON
Ori. Goods Issue Quarter,ZOGI_QTR
Ori. Goods Issue Week,ZOGI_WEEK
Ori. Goods Issue Year,ZOGI_YEAR
Dt - (SH) FD Cut-off at Departure,ZTKNUM_M__ZDEPCO_PD
STAS - MPC MAR Delayed or Advanced,ZSTA_AOD
Dt - (SH) FD Vessel Arr Plan-0,ZTKNUM_M__ZVESEL_PD
Plant Location - Recvng STO,ZRECPLANT__0CITY
Planning Site,0PLANT__ZSOPLOCID
Planning Site - Recvng STO,ZRECPLANT__ZSOPLOCID
Supply Family,0MATERIAL__ZSPLYFAM
Business Defined Field,0MAT_PLANT__ZFIELD5
Stocking Strategy,0MAT_PLANT__ZFIELD6
Dt - (SH) AIR FD 1st Transshipment Port Arrival Actual,ZTKNUM_M__ZTSAA1_AD
Dt - (SH) AIR FD 1st Transshipment Port Departure Actual,ZTKNUM_M__ZTSAD1_DD
Goods Issue Month Only,ZONLYMO
Goods Issue Quarter Only,ZONLYQTR
Goods Issue Week Only,ZONLYWK
QAC,ZSPECIDH__ZSAUTHGRP
SMC,ZSPECIDH__ZDOWSMC
Dt - (OI) Created On,ZERDAT_O
Dt - (STO) Created On,0DOC_DATE
Dt - (OI/STO) Created On,ZDATOHSTO
